pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
2-Seam,2023-07-25,82.3,2.43,5.58,"Schmitt, Casey",669477,686610,No event,ball,NA,NA,NA,NA,12,"Casey Schmitt grounds out, third baseman Jace Peterson to first baseman Seth Brown.",R,R,Left,SF,OAK,Ball,NA,,0,0,2023,-0.84,0.54,0.44,3.57,NA,NA,NA,1,3,Bot,NA,NA,NA,NA,669127,NA,NA,-2.93640179151882,-119.877147481806,0.908587352371858,-7.57982091650985,22.2999211645238,-27.3383059324731,3.36,1.5,NA,NA,NA,83.5,2013,7,717272,686610,669127,664913,680869,607054,669397,643393,668709,642137,53.54,NA,NA,NA,NA,NA,NA,NA,19,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,291,0,0.026
Sinker,2023-07-25,98.3,-1.86,6.35,"Schmitt, Casey",669477,668674,Strikeout,called_strike,NA,NA,NA,NA,9,Casey Schmitt called out on strikes.,R,R,Right,SF,OAK,Strike,2,,2,2,2023,-1.22,1.12,0.3,1.9,NA,NA,NA,0,8,Bot,NA,NA,NA,NA,669127,NA,NA,8.70831290264638,-142.683980834252,-9.17264101531682,-18.7116357844437,33.7072510252851,-14.8943795061214,3.45,1.68,NA,NA,NA,98.5,3038,6.6,717272,668674,669127,664913,680869,607054,649557,643393,668709,642137,53.91,NA,NA,0,1,0,0,NA,58,5,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,224,-0.046,-0.211
Sinker,2023-07-25,98.4,-1.84,6.34,"Schmitt, Casey",669477,668674,No event,swinging_strike,NA,NA,NA,NA,7,Casey Schmitt called out on strikes.,R,R,Right,SF,OAK,Strike,NA,,2,1,2023,-1.33,0.84,-0.5,1.63,NA,NA,NA,0,8,Bot,NA,NA,NA,NA,669127,NA,NA,6.76396887060219,-142.989729858891,-9.29548453214716,-19.7525856591834,32.9434608867314,-18.6510998747227,3.25,1.54,NA,NA,NA,99,1883,6.7,717272,668674,669127,664913,680869,607054,649557,643393,668709,642137,53.8,NA,NA,NA,NA,NA,NA,NA,58,4,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,221,0,-0.068
Slider,2023-07-25,85.4,-2.05,6.22,"Schmitt, Casey",669477,668674,No event,ball,NA,NA,NA,NA,14,Casey Schmitt called out on strikes.,R,R,Right,SF,OAK,Ball,NA,,1,1,2023,-0.11,-0.22,1.45,0.88,NA,NA,NA,0,8,Bot,NA,NA,NA,NA,669127,NA,NA,8.52852759933146,-124.053343739062,-5.89024098435407,-2.74099772433746,23.1500883576187,-33.5340473867329,3.27,1.5,NA,NA,NA,86.2,1863,6.7,717272,668674,669127,664913,680869,607054,649557,643393,668709,642137,53.76,NA,NA,NA,NA,NA,NA,NA,58,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,17,0,0.052
Sinker,2023-07-25,98.3,-1.96,6.3,"Schmitt, Casey",669477,668674,No event,called_strike,NA,NA,NA,NA,8,Casey Schmitt called out on strikes.,R,R,Right,SF,OAK,Strike,NA,,1,0,2023,-1.2,0.97,-0.14,1.72,NA,NA,NA,0,8,Bot,NA,NA,NA,NA,669127,NA,NA,7.79503554006865,-142.8185949783,-9.28315292340233,-18.2367673682808,30.9616187206035,-16.9482734035376,3.33,1.56,NA,NA,NA,99.3,3047,6.8,717272,668674,669127,664913,680869,607054,649557,643393,668709,642137,53.68,NA,NA,NA,NA,NA,NA,NA,58,2,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,252,0,-0.048
Sinker,2023-07-25,99.1,-1.81,6.35,"Schmitt, Casey",669477,668674,No event,ball,NA,NA,NA,NA,14,Casey Schmitt called out on strikes.,R,R,Right,SF,OAK,Ball,NA,,0,0,2023,-1.24,0.95,0.69,0.89,NA,NA,NA,0,8,Bot,NA,NA,NA,NA,669127,NA,NA,9.8136636682269,-143.635810663264,-11.7985234698622,-19.3849473045254,30.3203135824246,-16.4959430142529,3.36,1.59,NA,NA,NA,100.1,1839,6.9,717272,668674,669127,664913,680869,607054,649557,643393,668709,642137,53.62,NA,NA,NA,NA,NA,NA,NA,58,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,283,0,0.037
4-Seam,2023-07-24,96.8,1.64,6.1,"Schmitt, Casey",669477,669373,Strikeout,swinging_strike,NA,NA,NA,NA,6,Casey Schmitt strikes out swinging.,R,R,Left,DET,SF,Strike,2,,2,2,2023,0.76,1.56,0.54,2.52,NA,NA,NA,2,5,Top,NA,NA,NA,NA,668670,NA,NA,-4.67300781888755,-140.697276332264,-7.53120592922047,11.1130578208055,32.0126263742114,-9.95879758925539,3.26,1.54,NA,NA,NA,96.7,2378,6.3,718558,669373,668670,679529,628451,665155,656716,668731,682985,681481,54.18,NA,NA,0,1,0,0,NA,35,9,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,144,0.012,-0.091
Changeup,2023-07-24,85.4,1.74,6,"Schmitt, Casey",669477,669373,No event,foul,NA,NA,NA,NA,7,Casey Schmitt strikes out swinging.,R,R,Left,DET,SF,Strike,NA,,2,2,2023,0.78,0.41,-0.58,1.82,NA,NA,NA,2,5,Top,NA,NA,NA,NA,668670,NA,NA,-7.0846338829614,-124.204966966364,-4.42061537330843,9.44897215969368,23.7003748498443,-27.2070161430853,3.26,1.54,6,96,-17,86.1,1586,6.7,718558,669373,668670,679529,628451,665155,656716,668731,682985,681481,53.81,NA,NA,NA,NA,NA,NA,NA,35,8,Changeup,2,0,0,2,0,2,0,2,Standard,Standard,145,0,0
4-Seam,2023-07-24,97.8,1.64,6.11,"Schmitt, Casey",669477,669373,No event,foul,NA,NA,NA,NA,11,Casey Schmitt strikes out swinging.,R,R,Left,DET,SF,Strike,NA,,2,2,2023,0.4,1.3,-0.99,3.36,NA,NA,NA,2,5,Top,NA,NA,NA,NA,668670,NA,NA,-8.00068493810808,-142.225766728228,-4.97391497009978,7.093164389273,29.1443731390802,-13.510310281768,3.26,1.54,4,76.7,-40,98.2,2339,6.3,718558,669373,668670,679529,628451,665155,656716,668731,682985,681481,54.21,NA,NA,NA,NA,NA,NA,NA,35,7,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,149,0,0
4-Seam,2023-07-24,96.6,1.72,6.16,"Schmitt, Casey",669477,669373,No event,foul,NA,NA,NA,NA,2,Casey Schmitt strikes out swinging.,R,R,Left,DET,SF,Strike,NA,,2,2,2023,0.63,1.36,0.04,3.21,NA,NA,NA,2,5,Top,NA,NA,NA,NA,668670,NA,NA,-5.92032489756255,-140.587522486067,-5.42384300216244,9.63277916651196,30.5540490807295,-13.0669059078996,3.26,1.54,239,77.7,45,96.9,2375,6.4,718558,669373,668670,679529,628451,665155,656716,668731,682985,681481,54.13,NA,NA,NA,NA,NA,NA,NA,35,6,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,147,0,0
